title,url,cl_id,longitude,datetime,latitude,where,price
1br/1ba in a modern condo complex (Brickyard) in San Jose downtown,http://sfbay.craigslist.org/sby/apa/5862065251.html,"<p class=""postinginfo"">post id: 5862065251</p>",-121.876788,2016-11-05T00:42:25-0700,37.321549, (san jose downtown),1935.0
Lease takeover available for below Market Rent,http://sfbay.craigslist.org/eby/apa/5866447690.html,"<p class=""postinginfo"">post id: 5866447690</p>",-122.088074,2016-11-07T21:11:26-0800,37.922823, (walnut creek),2045.0
room for rent,http://sfbay.craigslist.org/sby/apa/5877065311.html,"<p class=""postinginfo"">post id: 5877065311</p>",-121.796373,2016-11-14T21:29:32-0800,37.351138, (san jose east),900.0
Juniper Hall | Blocks To SJSU | $500 Move-In Bonus,http://sfbay.craigslist.org/sby/apa/5877061637.html,"<p class=""postinginfo"">post id: 5877061637</p>",-121.875151,2016-11-14T21:23:36-0800,37.332784, (san jose downtown),2395.0
Brand New 1 Bed W/ Parking Available,http://sfbay.craigslist.org/sfc/apa/5877057605.html,"<p class=""postinginfo"">post id: 5877057605</p>",-122.410866,2016-11-14T21:17:04-0800,37.775228, (SOMA / south beach),2495.0
"Fremont ""Ardenwood"" townhouse Great schools, Good Neighborhood",http://sfbay.craigslist.org/eby/apa/5877065491.html,"<p class=""postinginfo"">post id: 5877065491</p>",-122.036862,2016-11-14T21:29:47-0800,37.575637, (fremont / union city / newark),2600.0
"Quiet, HUGE, Industrial Loft, Dog Friendly, Hip Neighborhood",http://sfbay.craigslist.org/eby/apa/5862649828.html,"<p class=""postinginfo"">post id: 5862649828</p>",-122.296565,2016-11-05T10:30:51-0700,37.871449, (berkeley),3900.0
Home For Holidays--Free December Rent!,http://sfbay.craigslist.org/pen/apa/5877065688.html,"<p class=""postinginfo"">post id: 5877065688</p>",-122.086086,2016-11-14T21:30:07-0800,37.399636, (mountain view),1995.0
2 Bed 1 Bath Adams point Oakland,http://sfbay.craigslist.org/eby/apa/5871022867.html,"<p class=""postinginfo"">post id: 5871022867</p>",-122.253242,2016-11-10T23:20:58-0800,37.816310, (oakland lake merritt / grand),2300.0
"Limitless Style, Unreal Service & Crazy Fun!",http://sfbay.craigslist.org/nby/apa/5859402579.html,"<p class=""postinginfo"">post id: 5859402579</p>",-122.572294,2016-11-03T09:36:45-0700,38.224716," (1 Lakeville Circle, Petaluma, CA 94954)",2247.0
Upscale - New Construction -New York Style Loft -  Parking Available,http://sfbay.craigslist.org/sfc/apa/5877058474.html,"<p class=""postinginfo"">post id: 5877058474</p>",-122.420687,2016-11-14T21:18:26-0800,37.790578, (russian hill),3495.0
1Bed  1 Bath Adams point apt,http://sfbay.craigslist.org/eby/apa/5871022734.html,"<p class=""postinginfo"">post id: 5871022734</p>",-122.253799,2016-11-10T23:20:35-0800,37.815073, (oakland lake merritt / grand),1850.0
Great location 2 bed 1 bath apt,http://sfbay.craigslist.org/eby/apa/5871022613.html,"<p class=""postinginfo"">post id: 5871022613</p>",-122.267790,2016-11-10T23:20:12-0800,37.818185, (oakland downtown),1800.0
Top Floor Loft w/ City Views & Parking Included,http://sfbay.craigslist.org/sfc/apa/5877061723.html,"<p class=""postinginfo"">post id: 5877061723</p>",-122.420687,2016-11-14T21:23:44-0800,37.790578, (russian hill),4000.0
Fully Updated 2nd Floor 1 Bdrm Condo in Marina Bay,http://sfbay.craigslist.org/eby/apa/5863004212.html,"<p class=""postinginfo"">post id: 5863004212</p>",-122.342265,2016-11-05T14:03:31-0700,37.912849, (richmond / point / annex),1800.0
"Private, Quiet 1Br Cottage w/ Parking and Large Private yard",http://sfbay.craigslist.org/sby/apa/5877033677.html,"<p class=""postinginfo"">post id: 5877033677</p>",-121.945496,2016-11-14T20:42:37-0800,37.351942, (santa clara),1800.0
Spacious Hardwood Full Floor Flat,http://sfbay.craigslist.org/sfc/apa/5867986409.html,"<p class=""postinginfo"">post id: 5867986409</p>",-122.455394,2016-11-08T22:45:02-0800,37.779432, (USF / panhandle),4300.0
"$99 Deposit! Downtown Theater District Studio Loft, W/D, AC!",http://sfbay.craigslist.org/nby/apa/5836424496.html,"<p class=""postinginfo"">post id: 5836424496</p>",-122.639330,2016-10-19T11:32:13-0700,38.233761, (petaluma),2325.0
Very Large Studio Available Now,http://sfbay.craigslist.org/sfc/apa/5873226584.html,"<p class=""postinginfo"">post id: 5873226584</p>",-122.439994,2016-11-12T10:04:21-0800,37.783264, (lower pac hts),2125.0
1BB/1BA FOR RENT,http://sfbay.craigslist.org/sfc/apa/5847385803.html,"<p class=""postinginfo"">post id: 5847385803</p>",-122.417402,2016-10-26T10:33:26-0700,37.776619,,2850.0
Cute and Urban Apartment In Redwood City,http://sfbay.craigslist.org/pen/apa/5877035814.html,"<p class=""postinginfo"">post id: 5877035814</p>",-122.217270,2016-11-14T20:45:36-0800,37.487826, (redwood city),2503.0
Brand NEW Apts in Downtown Berkeley! 1 Month FREE!,http://sfbay.craigslist.org/eby/apa/5868451460.html,"<p class=""postinginfo"">post id: 5868451460</p>",-122.272756,2016-11-09T09:03:00-0800,37.870696, (berkeley),2450.0
❤ Newly Renovated Home in Warm Springs - commuter friendly!,http://sfbay.craigslist.org/eby/apa/5860247724.html,"<p class=""postinginfo"">post id: 5860247724</p>",-121.920469,2016-11-03T18:49:27-0700,37.489137, (fremont / union city / newark),3780.0
Coming Soon Prime Campbell 2 bedroom Near Los Gatos,http://sfbay.craigslist.org/sby/apa/5861139903.html,"<p class=""postinginfo"">post id: 5861139903</p>",,2016-11-04T10:57:32-0700,, (campbell),2495.0
Luxury Rockwell Apartment Waiting for Its First Tenant,http://sfbay.craigslist.org/sfc/apa/5859872459.html,"<p class=""postinginfo"">post id: 5859872459</p>",-122.423277,2016-11-03T13:57:04-0700,37.789267, (pacific heights),5800.0
1br.--   TOP  FLOOR  BAY VIEWS!!,http://sfbay.craigslist.org/sfc/apa/5837141067.html,"<p class=""postinginfo"">post id: 5837141067</p>",-122.403585,2016-10-19T20:01:15-0700,37.801629, (north beach / telegraph hill),2600.0
Move In Ready! Remodeled 2 Bedroom,http://sfbay.craigslist.org/nby/apa/5877041632.html,"<p class=""postinginfo"">post id: 5877041632</p>",-122.687800,2016-11-14T20:53:21-0800,38.453400, (santa rosa),1835.0
1br.--FURN or UNFUR  Top Floor * Bay View,http://sfbay.craigslist.org/sfc/apa/5837140430.html,"<p class=""postinginfo"">post id: 5837140430</p>",-122.409100,2016-10-19T20:00:30-0700,37.800200, (north beach / telegraph hill),2850.0
1BB/1BA FOR RENT,http://sfbay.craigslist.org/sfc/apa/5865607046.html,"<p class=""postinginfo"">post id: 5865607046</p>",-122.455916,2016-11-07T10:51:29-0800,37.723837,,2800.0
Remodeled New Spacious Bright Campbell Prime Location!,http://sfbay.craigslist.org/sby/apa/5866456937.html,"<p class=""postinginfo"">post id: 5866456937</p>",,2016-11-07T21:27:04-0800,, (campbell),2495.0
Top floor warehouse loft,http://sfbay.craigslist.org/eby/apa/5877035984.html,"<p class=""postinginfo"">post id: 5877035984</p>",-122.280400,2016-11-14T20:45:48-0800,37.836500, (emeryville),2550.0
NEWLY  FURNISHED ONE BEDROOM FOR RENT,http://sfbay.craigslist.org/sfc/apa/5847357668.html,"<p class=""postinginfo"">post id: 5847357668</p>",-122.399457,2016-10-26T10:19:07-0700,37.780917, (SOMA / south beach),2800.0
